,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
8607,12-24 15:10:00,1504.905,193.65687499999999,108.201875,3.19125,14.12,9.1225,12.754375,0.0,0.26706,45.09583333333333,1195.7460833333334,190.3305,9618.977,5070.537,1308.71275,12346.03925,72.048,49.45216666666666,2861.3853333333336,7797.59925
8608,12-24 16:10:00,998.0175,134.573125,69.7975,1.7306249999999999,8.27,8.897499999999999,12.689375,0.0,0.26706,45.096000000000004,1195.8503333333335,190.34433333333334,9618.977666666666,5071.747333333334,1309.1869166666668,12346.064,72.06575,49.45233333333332,2861.995666666667,7798.833666666666
8609,12-24 17:10:00,2.08875,0.0,0.989375,0.025,0.05,8.47625,12.659375,0.0,0.26706,45.096000000000004,1195.8503333333335,190.35816666666668,9618.977666666666,5072.8625,1309.6801666666668,12346.064,72.0725,49.45233333333332,2862.5095,7799.948833333335
8610,12-24 18:10:00,0.0,0.0,0.0,0.0,0.0,7.93875,12.61625,0.0,0.26706,45.21075,1195.8505833333334,190.37325,9618.977666666666,5074.134916666667,1310.0155833333333,12346.064,72.08725,49.45249999999999,2862.989916666667,7801.221250000001
8611,12-24 19:10:00,0.0,0.0,0.0,0.0,0.0,7.67,12.56375,0.0,0.26706,45.3525,1195.8509999999999,190.385,9618.977666666666,5075.033083333333,1310.1690833333334,12346.064,72.09933333333333,49.452999999999996,2863.309916666667,7802.119416666667
8612,12-24 20:10:00,0.0,0.0,0.0,0.0,0.0,7.56875,12.598125,0.0,0.26706,45.352666666666664,1195.8509999999999,190.40158333333332,9618.977666666666,5075.915416666667,1310.3490833333333,12346.064,72.10491666666667,49.452999999999996,2863.5122499999998,7803.00175
8613,12-24 21:10:00,0.0,0.0,0.0,0.0,0.0,7.408125,12.6975,0.0,0.20458,45.352666666666664,1195.8509999999999,190.415,9618.977666666666,5076.712500000001,1310.5033333333333,12346.064,72.1245,49.452999999999996,2863.6995,7803.798833333334
8614,12-24 22:10:00,0.0,0.0,0.0,0.0,0.0,7.303125,12.676250000000001,0.0,0.20458,45.352666666666664,1195.8509999999999,190.4295833333333,9618.977666666666,5077.374416666667,1310.6841666666667,12346.064,72.125,49.452999999999996,2863.8954166666667,7804.460750000001
8615,12-24 23:10:00,0.0,0.0,0.0,0.0,0.0,7.0975,12.32625,0.0,0.20458,45.352666666666664,1195.8509999999999,190.44325,9618.977666666666,5078.283083333333,1311.0970833333333,12346.064,72.14375,49.452999999999996,2864.34075,7805.369416666667
8616,12-25 00:10:00,0.0,0.0,0.0,0.0,0.0,7.030625,12.293750000000001,0.0,0.20458,45.352666666666664,1195.8509999999999,190.45741666666666,9618.977666666666,5079.456833333334,1311.6678333333332,12346.064,72.14933333333333,49.452999999999996,2864.9312499999996,7806.543166666667
8617,12-25 01:10:00,0.0,0.0,0.0,0.0,0.0,7.068125,12.319375,0.0,0.20458,45.352666666666664,1195.8509999999999,190.47425,9618.977666666666,5080.226166666666,1312.0191666666667,12346.064,72.157,49.452999999999996,2865.307083333333,7807.3125
8618,12-25 02:10:00,0.0,0.0,0.0,0.0,0.0,7.075,12.38375,0.0,0.20458,45.352666666666664,1195.8509999999999,190.48608333333334,9618.977666666666,5080.945500000001,1312.3795,12346.064,72.17333333333333,49.452999999999996,2865.6955833333336,7808.031833333334
8619,12-25 03:10:00,0.0,0.0,0.0,0.0,0.0,7.046875,12.483125,0.0,0.20458,45.352666666666664,1195.8509999999999,190.50175000000002,9618.977666666666,5081.657333333334,1312.7401666666667,12346.064,72.17441666666667,49.452999999999996,2866.0730000000003,7808.743666666668
8620,12-25 04:10:00,0.0,0.0,0.0,0.0,0.0,7.016875,12.513125,0.0,0.20458,45.352666666666664,1195.8509999999999,190.51616666666666,9618.977666666666,5082.489083333333,1313.093,12346.064,72.191,49.452999999999996,2866.4568333333336,7809.5754166666675
8621,12-25 05:10:00,0.0,0.0,0.0,0.0,0.0,7.046250000000001,12.452499999999999,0.0,0.20458,45.352666666666664,1195.8509999999999,190.5295,9618.977666666666,5083.324583333334,1313.45975,12346.064,72.19733333333333,49.452999999999996,2866.84325,7810.410916666668
8622,12-25 06:10:00,0.0,0.0,0.0,0.0,0.0,6.966875,12.44,0.0,0.20458,45.352666666666664,1195.8509999999999,190.544,9618.977666666666,5084.36775,1313.99075,12346.064,72.205,49.452999999999996,2867.3964166666665,7811.454083333334
8623,12-25 07:10:00,0.0,0.0,0.0,0.0,0.0,6.94625,12.525625,0.0,0.20458,45.352666666666664,1195.8509999999999,190.5575,9618.977833333332,5085.506666666667,1314.54625,12346.120916666667,72.21925,49.452999999999996,2867.9796666666666,7812.6497500000005
8624,12-25 08:10:00,0.0,0.0,0.0,0.0,0.0,6.891249999999999,12.469375,0.0,0.20458,45.352666666666664,1195.8509999999999,190.57375000000002,9619.084499999999,5086.28625,1315.03275,12346.807833333332,72.22500000000001,49.452999999999996,2868.4881666666665,7814.0095833333335
8625,12-25 09:10:00,0.0,0.0,0.0,0.0,0.0,6.89375,12.363125,0.0,0.26706,45.352666666666664,1195.8509999999999,190.58741666666666,9619.50475,5087.087666666666,1315.7727499999999,12348.301916666665,72.24066666666667,49.452999999999996,2869.2575,7815.8848333333335
8626,12-25 10:10:00,811.3125,101.201875,66.07375,1.700625,8.74,7.15625,12.478125,0.0,0.26706,45.352666666666664,1195.8509999999999,190.6045,9620.104166666666,5087.815,1316.3196666666665,12351.017416666667,72.24766666666666,49.452999999999996,2869.8285,7818.72825
8627,12-25 11:10:00,1333.545,169.185,97.88,2.975625,14.47,7.81,12.4825,0.0,0.26706,45.352666666666664,1195.8509999999999,190.619,9621.688,5088.242416666667,1316.5356666666667,12354.261916666668,72.26466666666667,49.452999999999996,2870.0760000000005,7820.816333333333
8628,12-25 12:10:00,1243.17375,152.106875,104.68125,3.2624999999999997,18.11,8.356875,12.494375,0.0,0.26706,45.35433333333333,1195.8509999999999,190.63175,9623.419666666667,5088.907749999999,1316.9955833333333,12357.387916666667,72.27658333333333,49.452999999999996,2870.5622500000004,7822.876
8629,12-25 13:10:00,1741.905,221.15125,132.31125,4.17875,19.32,8.63625,12.63625,0.0,0.26706,45.502916666666664,1195.8509999999999,190.64658333333333,9624.763916666667,5089.605833333334,1317.1615,12360.482083333334,72.28983333333333,49.45341666666667,2870.9052500000003,7825.3240000000005
8630,12-25 14:10:00,1714.11375,216.48000000000002,128.55,3.94625,17.96,8.9525,12.5825,0.0,0.26706,45.62983333333333,1195.8510833333332,190.65791666666667,9625.54125,5090.320333333333,1317.4360833333333,12362.184833333333,72.30691666666667,49.45374999999999,2871.3355833333335,7826.963916666667
8631,12-25 15:10:00,1480.125,189.054375,107.110625,3.105,14.18,8.970625,12.496875,0.0,0.26706,45.82866666666666,1195.8516666666667,190.67324999999997,9625.617,5091.54925,1318.028,12362.621666666666,72.31824999999999,49.454,2872.1538333333333,7828.553916666667
8632,12-25 16:10:00,864.6637499999999,111.545625,67.09625,1.635,8.34,8.794375,12.435625,0.0,0.26706,45.834,1195.8516666666667,190.68633333333332,9625.617,5092.698,1318.5201666666667,12362.653666666667,72.33608333333332,49.454,2872.68225,7829.734666666666
8633,12-25 17:10:00,2.085,0.0,0.989375,0.025,0.055,8.44,12.2275,0.0,0.26706,45.834,1195.8516666666667,190.70083333333332,9625.617,5093.704833333333,1318.84225,12362.653666666667,72.34458333333333,49.454,2873.0273333333334,7830.7415
8634,12-25 18:10:00,0.0,0.0,0.0,0.0,0.0,7.86125,12.133125,0.0,0.26706,45.865916666666664,1195.8516666666667,190.71533333333332,9625.617,5094.887333333333,1319.2700833333333,12362.653666666667,72.36783333333334,49.454,2873.524833333333,7831.924
